"Longitude","Latitude"
-87.67544514,41.67728296
-87.67570091,41.67727872
-87.67601188,41.67727377
-87.67633119,41.67726723
-87.67661556,41.67726177
-87.67689289,41.67725701
-87.6772343,41.67725115
-87.67749014,41.67724659
-87.67783722,41.67724043
-87.67816768,41.67723457
-87.67849927,41.67722867
-87.67875683,41.67722798
-87.67879806,41.67722787
-87.67891077,41.67722757
-87.67935575,41.67722641
-87.67955502,41.6772277
-87.67988488,41.67723776
-87.68038323,41.67724416
-87.68069641,41.67725655
-87.6808393,41.6772622
-87.68112841,41.67726955
-87.68132114,41.67728253
-87.68137448,41.67728612
-87.68168786,41.67730129
-87.68192843,41.67729593
-87.68240666,41.67728527
-87.68254375,41.67728036
-87.68285362,41.67726926
-87.68315122,41.67726301
-87.68375844,41.67725028
-87.68437749,41.67723728
-87.68472265,41.67723004
-87.68496975,41.67722509
-87.68498131,41.67722485
-87.68498626,41.67722476
-87.68522219,41.67722004
-87.68560214,41.67721442
-87.68592234,41.67720969
-87.68621507,41.67720579
-87.6863096,41.67720474
-87.68629327,41.6772382
-87.68624658,41.67733789
-87.68619729,41.67744217
-87.68609057,41.6776775
-87.6859894,41.67791421
-87.68590638,41.67812093
-87.68589382,41.67815221
-87.68585809,41.67825478
-87.68581244,41.67840055
-87.68577254,41.67854726
-87.68573837,41.67869477
-87.68571001,41.67884297
-87.68568744,41.67899172
-87.68568291,41.67903214
-87.68567071,41.67914092
-87.6856598,41.67929042
-87.68565475,41.6794401
-87.68565556,41.67958981
-87.68566222,41.67973944
-87.6856677,41.67993736
-87.68569236,41.68082947
-87.68569289,41.68084578
-87.68572221,41.68175553
-87.68572469,41.68183281
-87.68574136,41.68233592
-87.68575208,41.68265985
-87.68576196,41.68295804
-87.68578264,41.68356662
-87.68579772,41.68401031
-87.68580881,41.68437869
-87.68581235,41.68447506
-87.68583725,41.68447481
-87.68600241,41.68447311
-87.68621403,41.68447093
-87.68647414,41.68446724
-87.68682279,41.68446226
-87.68706269,41.68445879
-87.68749694,41.68445252
-87.6877312,41.68444884
-87.6880726,41.68444346
-87.68829197,41.68443897
-87.68861761,41.6844323
-87.68890005,41.6844292
-87.68898836,41.68442823
-87.68927126,41.68442232
-87.68951763,41.68441971
-87.68989603,41.6844157
-87.68991939,41.68441538
-87.69009646,41.68441292
-87.69052763,41.68440716
-87.69099344,41.68440021
-87.69139159,41.68439459
-87.69184048,41.6843882
-87.69232292,41.68438077
-87.69313613,41.68436908
-87.69357052,41.68436393
-87.69406196,41.68435738
-87.69440305,41.68435313
-87.69469135,41.68434908
-87.69519224,41.68434166
-87.6956254,41.68433322
-87.6956441,41.68481345
-87.69567223,41.68567203
-87.69570058,41.68636047
-87.69576155,41.68799176
-87.69709201,41.68796888
-87.69742589,41.68795565
-87.69764729,41.6879512
