"District";"Latitude";"Longitude"
"5";41.684373357;-87.631253273
"8";41.780020279;-87.694636468
"15";41.900358126;-87.76162533
"7";41.793340012;-87.634132234
"9";41.815167946;-87.689514819
"15";41.894876703;-87.762493284
"25";41.911623397;-87.77279268
"9";41.795586355;-87.65127426
"11";41.89542227;-87.720330031
"20";41.973002456;-87.677796431
"24";42.007888024;-87.667073428
"12";41.892353434;-87.706461515
"9";41.852868298;-87.63091491
"5";41.688006117;-87.626208996
"25";41.934178689;-87.720774943
"2";41.799224883;-87.585511041
"7";41.770079376;-87.628288655
"5";41.6796504;-87.620560552
"15";41.876770211;-87.746174927
"6";41.749015615;-87.603907696
"25";41.92436229;-87.73687555
"2";41.823821752;-87.617815429
"2";41.823821752;-87.617815429
"6";41.738827905;-87.659496368
"5";41.707220815;-87.619816632
"8";41.777141615;-87.762424027
"9";41.804734424;-87.633256465
"6";41.724088037;-87.632854159
"6";41.751291477;-87.604904392
"11";41.866503372;-87.696621667
"2";41.823665846;-87.603072021
"3";41.769749009;-87.591088226
"4";41.719965558;-87.576511435
"22";41.700502156;-87.642634662
"10";41.861567268;-87.718939126
"1";41.868165405;-87.62743954
"19";41.941793819;-87.649777104
"4";41.715458769;-87.551819157
"24";42.01941131;-87.677158055
"25";41.923211292;-87.759808225
"15";41.880263631;-87.763607487
"6";41.750739142;-87.605222136
"19";41.966240118;-87.688834357
"4";41.726937306;-87.596112781
"11";41.875290002;-87.72384912
"15";41.892155106;-87.75549882
"19";41.929784839;-87.638755572
"7";41.77170672;-87.666432846
"9";41.802298398;-87.656297439
"25";41.90402879;-87.758650136
"16";41.975334583;-87.748311799
"12";41.865192223;-87.659687336
"2";41.793579185;-87.615951604
"25";41.906727564;-87.753427757
"11";41.878310128;-87.699280504
"10";41.840301624;-87.712239664
"22";41.706461203;-87.642819913
"9";41.812111733;-87.641979822
"5";41.705052523;-87.628219509
"22";41.690701233;-87.664282585
"7";41.777026661;-87.671437095
"7";41.780686618;-87.661819122
"7";41.777026661;-87.671437095
"15";41.876581037;-87.745137513
"7";41.765936474;-87.655352934
"9";41.795463586;-87.659768922
"6";41.751305337;-87.603628907
"15";41.899490171;-87.75817291
"11";41.892824617;-87.711356453
"6";41.755781037;-87.605319081
"24";42.01037908;-87.663658544
"14";41.934262479;-87.714904846
